Status,FINAL,,,,,,Design - To Do,,
SOP ,SOP - Daily Container Bookings Update - Overview (azure.com),,,,,,Design - in progress,,
Feature Ticket,Feature 17934 Daily Container Bookings Update Service (azure.com),,,,,,Design - completed,,
TMS Sub-System,CHS,,,,,,Design changed needs rework,,
TMS-API,CHS_DAILY_CONTAINER_BOOKINGS.UPDATE,,,,,,OpenAPI Spec complete,,
TMS-OWN,TMCHADCB.UPDATE_BOOKING,,,,,,,,
Service Description,This service updates the details of the specific daily container booking that the logged in user has chosen to update.,,,,,,,,
Proposed End-point,PUT /containerBookings/[bookingNumber],,,,,,,,
INPUTS,,,,,,,,,
TMS OWN Stored Proc Field,TMS API JSON Field,Mandatory ,Type,Size,Example Data,API Parent Field,API Field,Description,Comments
dcb_required_pickup_date_chr,DEST_EXP_PICKUP_TS,N,DateTime,,,,destinationExpectedPickupDateTime,The destination expected pickup date and time of holding bay associated with the booking,
dcb_wt_id_col,WASTE_TYPE,N,String,50,,,wasteType,The regulated waste type associated with the booking,move these to a separate service
wtr_code_col,WASTE_TREATMENT,N,String,100,,,wasteTreatmentCode,The regulated waste treatment associated with the booking,
dcb_wt_net_qty_col,REGULATED_WASTE_QUANTITY,N,Number,,,,wasteQuantity,Quantity of regulated waste associated with the booking,
dcb_wt_unt_code_col,REGULATED_WASTE_UNIT,N,String,4,,,wasteUnit,The regulated waste unit associated with the booking,
wtdccw_cw_code_chr,WASTE_CODE,N,Array,,,,controlledWasteCodes[string],NEPM controlled waste associated with the booking,
,SEAL_NUMBER,N,Array,,,,sealNumbers[string],Seal information associated with the booking,
wtdc_addr_from_id_col,WASTE_PICKUP_LOCATION,N,Number,10,,,wastePickupLocation,The regulated waste pick up location associated with the booking,
wtdc_connote_ind_chr,WTDC_CONNOTE_FILE_IND,N,Boolean,,,,hasConnoteFile,Does the booking contain connote file attachment?,
wtdc_connote_filename_col,"WTDC_CONNOTE: {fileName, bufferData}",N,String,50,,,,,
wtdc_connote_blob_col,,N,Binary,,,,connote,Connote PDF file to be uploaded,"Note to dev, convert to UPPER() in TMS API"
wtdc_addr_to_id_col,WASTE_DELIVERY_LOCATION,N,Number,10,,,wasteDeliveryLocation,The regulated waste delivery location associated with the booking,
wtdc_manifest_ind_chr,WTDC_MANIFEST_FILE_IND,N,Boolean,,,,hasManifestFile,Does the booking contain manifest file attachment?,
wtdc_fm_filename_col,"WTDC_FM: {fileName, bufferData}",N,String,50,,,,,
wtdc_fm_blob_col,,N,Binary,,,,freightManifest,Freight manifest file as binary string,"Note to dev, convert to UPPER() in TMS API"
asbestos_ind_chr,ASBESTOS_IND,N,Boolean,,,,isAsbestos,"If the entered value is true, then asbestos included in regulatory waste associated with the booking is set. If the entered value is false, then it is not set",
wtdc_waste_trk_ind_chr,WTDC_WASTE_TRACKING_FILE_IND,N,Boolean,,,,hasWasteTrackingFile,Does the booking have the waste tracking file attachment?,
wtdc_wtf_filename_col,"WTDC_WTF: {fileName, bufferData}",N,String,50,,,,,
wtdc_wtf_blob_col,,N,Binary,,,,wasteTracking,Waste tracking file as binary string,"Note to dev, convert to UPPER() in TMS API"
,,,Array,,,nestedContainers,,,
fid_nested_container_col,NESTED_CONTAINER,Y,String,20,,nestedContainers,nestedContainer,,
fid_modified_by_user_id_col,NESTED_CONTAINER_MODIFIED_BY_USER_ID,N,String,12,,nestedContainers,nestedModifiedByName,,
fid_modified_timestamp_chr,NESTED_CONTAINER_MODIFIED_BY_TIMESTAMP,N,Date,,,nestedContainers,nestedModifiedOn,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
OUTPUTS,,,,,,,,,
TMS OWN Stored Proc Field,TMS API JSON Field,Mandatory ,Type,Size,Example Data,API Parent Field,API Field,Comment / Description,
modified_by_user_id_col,MODIFIED_BY_USER_ID,Y,String,12,,,Header: etag,merged with modifiedById,
modified_timestamp_chr,MODIFIED_TIMESTAMP,Y,String,30,,,Header: etag,merged with modifiedOn,
